 	172800 	NS 	ns-832.awsdns-40.net.
home-ui-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
home-ui-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
home-ui-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
home-ui-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
home-ui-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
home-ui-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
home-ui-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
home-ui-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
home-ui-sa. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
home-ui. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
hub-msg. 	300 	CNAME 	NLB-msghub-3c4f62da33652358.elb.us-west-2.amazonaws.com.
hwcmdb. 	300 	A 	44.229.22.199
img-dev. 	300 	CNAME 	dev-fileserver-nfs-9aed84e0cf9afe63.elb.us-west-2.amazonaws.com.
img-tmp. 	300 	CNAME 	d2iz61gbfv2ye.cloudfront.net.
img. 	300 	CNAME 	d2iz61gbfv2ye.cloudfront.net.
iot-voice-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
iot-voice-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
iot-voice-dev. 	300 	CNAME 	launcher-10638ffac867f394.elb.us-west-2.amazonaws.com.
iot-voice-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
iot-voice-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
iot-voice-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
iot-voice-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
iot-voice-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
iot-voice-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
iot-voice-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
iot-voice-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
iot-voice-ru. 	300 	A 	178.154.193.99
iot-voice-sa. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
iot-voice. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
juconnect-k8s-es. 	300 	A 	18.158.17.158
juconnectk8s-aws. 	300 	CNAME 	jhk-nephele-0a8127e2f61b4eb7.elb.eu-central-1.amazonaws.com.
layout-ui-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
layout-ui-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
layout-ui-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
layout-ui-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
layout-ui-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
layout-ui-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
layout-ui-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
layout-ui-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
layout-ui-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
layout-ui-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
layout-ui-sa. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
layout-ui. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
mediaop. 	300 	CNAME 	mam-0abc7c4f3f8f82e8.elb.us-west-2.amazonaws.com.
member-ui-af. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
member-ui-as. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
member-ui-ea. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
member-ui-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
member-ui-eu. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
member-ui-jp. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
member-ui-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
member-ui-me. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
member-ui-na. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
member-ui-oc. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
member-ui-ru. 	300 	A 	178.154.193.99
member-ui-sa. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
member-ui. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
mmeber-ui-ee. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
msg. 	300 	CNAME 	message-apigateway-eb5d9f211edfb6ac.elb.us-west-2.amazonaws.com.
newsan-ads-la. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
newsan-ads. 	300 	CNAME 	njbp-api-9bff73004758ee77.elb.us-west-2.amazonaws.com.
oauth-auth-af. 	300 	CNAME 	basic-vidaahub-581035931.us-west-2.elb.amazonaws.com.
oauth-auth-as. 	300 	CNAME 	basic-vidaahub-581035931.us-west-2.elb.amazonaws.com.
oauth-auth-ea. 	300 	CNAME 	basic-vidaahub-581035931.us-west-2.elb.amazonaws.com.
oauth-auth-ee. 	300 	CNAME 	basic-vidaahub-581035931.us-west-2.elb.amazonaws.com.
oauth-auth-eu. 	300 	CNAME 	basic-vidaahub-581035931.us-west-2.elb.amazonaws.com.
oauth-auth-jp. 	300 	CNAME 	account-nginx-vidaahubext-c909678e6d6e46f8.elb.us-west-2.amazonaws.com.
oauth-auth-la. 	300 	CNAME 	basic-vidaahub-581035931.us-west-2.elb.amazonaws.com.
